Qual o estado que você mora?,Qual a sua idade?,Quantas vezes ao mês você faz compras em mercados?,"Qual a sua renda familiar, aproximadamente?",Extra,Carrefour,Pão de Açúcar,Rappi,James,iFood,Cornershop,Supermercado Now,Americanas Mercado,Uber,Não uso,Other,Ofertas de desconto em produtos nas prateleiras da loja (concentração BIG),Ofertas de desconto em produtos através de ativação no aplicativo (concentração BIG),Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra (concentração BIG),Produtos colecionáveis a partir das compras em loja (ex: campanha de selinhos) (concentração BIG),Acúmulo de pontos para troca por produtos ou cupons de desconto (concentração BIG),"Para você, qual a melhor forma de cadastro em programas de fidelidade?",Cartela de selinhos (conheço),Cashback  (conheço),Cupons de desconto  (conheço),Ativação de ofertas em aplicativos  (conheço),Acúmulo de pontos  (conheço),Acúmulo de milhas  (conheço),Cartão fidelidade  (conheço),Nenhum  (conheço),Cartela de selinhos (usei),Cashback (usei),Cupons de desconto (usei),Ativação de ofertas em aplicativos (usei),Acúmulo de pontos (usei),Acúmulo de milhas (usei),Cartão fidelidade (usei),Nenhum (usei),"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços","Sim, já recebi dinheiro de volta","Não, nunca resgatei nenhum prêmio",Quais são os melhores tipos de recompensa para você?,"Entre esses dois refrigerantes, qual o que você geralmente inclui em suas compras?","Se você estivesse próximo de completar sua cartela de selos para resgatar a sua recompensa, qual dos refrigerantes você compraria? (Pepsi 2x)","Se você estivesse próximo de completar sua cartela de selos para resgatar a sua recompensa, qual dos refrigerantes você compraria? (Coca 2x)","No programa de selos, a cada R$20,00 em compras no BIG, exceto no setor de Eletro, você acumula um selo. Considere que você fez a compra ao lado, o que você entende sobre esse mecanismo do programa?","Para receber uma sanduicheira, você precisa juntar 40 selos. Porém, juntando 60 selos, você poderia trocar por um micro-ondas. Você gastaria R$ 100 a mais do que o normal no supermercado em um mês para trocar pelo micro-ondas?",Por que você não juntaria mais selos para trocar pelo microondas?,Por que você não trocaria os seus selos rapidamente pela sanduicheira?,O que você acha de campanhas temáticas próximas de datas comemorativas?,"Depois que você trocou a quantidade de selos pelo seu produto preferido, com quanto tempo você gostaria de retirar o produto na loja?","Caso você tivesse com a cartela de selos completa e o estoque dos prêmios acabassem antes de você resgatar, você participaria de outra campanha de selos?","Digamos que você fez uma compra de R$200,00 no BIG e começou a acompanhar seu progresso no programa de pontos. Olhando para a imagem ao lado, quantos reais faltam para você alcançar 1 moeda?","Digamos que você tem 1 moeda no programa de pontos, você concentraria mais R$ 200,00 em compras no BIG em um mês para ganhar 3 moedas e trocar por um prêmio melhor?",Você instalaria o aplicativo do BIG para participar do programa de selinhos?
Paraná (PR),18 a 25 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,Rappi,,iFood,,,,Uber,Não uso,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,Cashback,Cupons de desconto,,Acúmulo de pontos,,Cartão fidelidade,,,,Cupons de desconto,,,,Cartão fidelidade,,,,,,"Não, nunca resgatei nenhum prêmio","Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Sim,"Sim, gastaria e trocaria pelo microondas",,O prêmio com mais selos é melhor,Joia,Na mesma semana,Sim,R$100,1,1
Bahia (BA),mais de 55 anos,Mais de 5 vezes ao mês,"Acima de 20 salários mínimos (de R$ 20.900,01 em diante)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,,,,Acúmulo de pontos,,,,,,,,Acúmulo de pontos,,,,"Sim, já resgatei um produto",,,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Que ganharia 52 cupons,"Sim, gastaria e trocaria pelo microondas",,Porque preferiria um produto bem melhor,Animam ao cliente comprar,Em até 2 meses,Não,R$100,1,1
Rio Grande do Sul (RS),18 a 25 anos,3 a 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Fazer o cadastro no próprio caixa,,,,,,,,Nenhum,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Não vou ganhar selos,"Sim, gastaria e trocaria pelo microondas",,Pq quero um micro-ondas,Importante,No mesmo dia,Sim,R$100,1,1
Paraná (PR),35 a 45 anos,Mais de 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,iFood,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Fazer o cadastro no próprio caixa,Cartela de selinhos,,Cupons de desconto,,,,Cartão fidelidade,,Cartela de selinhos,,Cupons de desconto,Ativação de ofertas em aplicativos,,,Cartão fidelidade,,"Sim, já resgatei um produto",,,,,"Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback)",Coca-Cola,Coca-Cola,,"Q vou ganhar 2 selos pelo refri, já q a geladeira não entra no programa","Sim, gastaria e trocaria pelo microondas",,O microondas é mais vantagens,Uma ótima,No mesmo dia,Depende da campanha,R$200,1,1
Rio Grande do Sul (RS),mais de 55 anos,Mais de 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,Uber,,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,,,,,,Acúmulo de pontos,,,,,,,,,Acúmulo de milhas,,,,"Sim, já recebi descontos na loja",,,,"Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Nenhum deles,,,Isso é um cupom fiscal.,"Não, fico com a sanduicheira",Porque não vou gastar ais do que o meu necessário.  !!!,,,No mesmo dia,Não,R$50,0,0
Paraná (PR),35 a 45 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Terminal de auto atendimento na loja,Cartela de selinhos,,,,,Acúmulo de milhas,Cartão fidelidade,,Cartela de selinhos,,,,,Acúmulo de milhas,Cartão fidelidade,,"Sim, já resgatei um produto",,,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Cupons de desconto no BIG,Seguros (ex: Seguro Residência\, Seguro Família...)",Nenhum deles,,,Que só a Pepsi vale cupom,"Sim, gastaria e trocaria pelo microondas",,Menor valor agregado,Legal,No mesmo dia,Provavelmente,R$200,1,1
Paraíba (PB),mais de 55 anos,1 a 3 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,Carrefour,Pão de Açúcar,,,,,,,,,,,Ofertas de desconto em produtos através de ativação no aplicativo,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Terminal de auto atendimento na loja,,,,,,,Cartão fidelidade,,,,,,Acúmulo de pontos,,,,,,,,"Não, nunca resgatei nenhum prêmio","Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback)",Coca-Cola,Coca-Cola,,Tenho cartão hiper a mais de 30 anos,"Não, fico com a sanduicheira",gasta muita energia,,,No mesmo mês,Provavelmente,R$100,1,1
Alagoas (AL),35 a 45 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",Extra,,,,,,,,,,,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Terminal de auto atendimento na loja,Cartela de selinhos,,,,Acúmulo de pontos,,,,Cartela de selinhos,,Cupons de desconto,,Acúmulo de pontos,,,,"Sim, já resgatei um produto",,,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Cupons de desconto no BIG,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback)",Coca-Cola,Coca-Cola,,O mecanismo para fidelizar o cliente,"Sim, gastaria e trocaria pelo microondas",,Porque a utilidade do micro-ondas é melhor.,Super legal,No mesmo dia,Não,R$200,1,1
Rio Grande do Sul (RS),mais de 55 anos,3 a 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,,,,Acúmulo de pontos,,,,,,,,Acúmulo de pontos,,,,"Sim, já resgatei um produto",,,,,"Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...)",Nenhum deles,,,Não entendo,"Sim, gastaria e trocaria pelo microondas",,Teria que ver melhor.,"Excelente em todo ponto de vista comercial  , tanto para a loja e o consumidor",Na mesma semana,Provavelmente,R$50,1,1
Paraná (PR),45 a 55 anos,Mais de 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,Cartela de selinhos,,,,,,,,Cartela de selinhos,,Cupons de desconto,,,,,,"Sim, já resgatei um produto",,"Sim, já recebi descontos em outros serviços",,,"Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Dinheiro de volta (Cashback),Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Nenhum deles,,,Funciona muito bem!,"Sim, gastaria e trocaria pelo microondas",,No caso seria mais interessante o microondas mesmo porque continuo fazendo compras!,"Bom, positivo!",Na mesma semana,Provavelmente,R$400,1,1
Santa Catarina (SC),mais de 55 anos,Mais de 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,,,,Acúmulo de pontos,,,,,,,,Acúmulo de pontos,,,,,"Sim, já recebi descontos na loja",,,,"Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,nao,"Sim, gastaria e trocaria pelo microondas",,prq ja tenho uma,boas,No mesmo dia,Sim,R$50,1,1
Pernambuco (PE),mais de 55 anos,Mais de 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Pessoas na loja ajudando no cadastro,,,,,,,Cartão fidelidade,,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Nenhum deles,,,nao entendi,"Não, fico com a sanduicheira",já tenho microondas,,,No mesmo dia,Sim,R$50,1,1
Rio Grande do Sul (RS),25 a 35 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,,Ofertas de desconto em produtos através de ativação no aplicativo,,,,Cadastro pelo app,,,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,Cartão fidelidade,,,,Cupons de desconto,,Acúmulo de pontos,,Cartão fidelidade,,,,,,"Não, nunca resgatei nenhum prêmio","Dinheiro de volta (Cashback),Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...)",Coca-Cola,Coca-Cola,,Acumulei 2 selos pela compra de 5 Pepsi pelo total do valor somente nas Pepsi.,"Sim, gastaria e trocaria pelo microondas",,Por que já tenho sanduicheira,"É uma boa, atrai mais os clientes para a loja.",No mesmo mês,Provavelmente,R$100,1,1
Paraná (PR),25 a 35 anos,3 a 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,Cartela de selinhos,Cashback,Cupons de desconto,,Acúmulo de pontos,,Cartão fidelidade,,,,,,Acúmulo de pontos,,,,"Sim, já resgatei um produto",,,,,"Dinheiro de volta (Cashback),Cupons de desconto no BIG,Eletrodomésticos,Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...)",Pepsi,,Coca-Cola com selos em dobro,"Que a cada 20,00 reias em compra eu ganho um selo. Só não vale para eletro.","Sim, gastaria e trocaria pelo microondas",,PoPorque já tenho uma sanduicheira nova.,"Acho legal, pois entra no clima.",Na mesma semana,Depende da campanha,R$100,1,1
Pernambuco (PE),45 a 55 anos,1 a 3 vezes ao mês,"De 10 a 20 salários mínimos (de R$ 10.450,01 a R$ 20.900,00)",,Carrefour,Pão de Açúcar,Rappi,,iFood,,,,,,,,Ofertas de desconto em produtos através de ativação no aplicativo,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços","Sim, já recebi dinheiro de volta",,"Dinheiro de volta (Cashback),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de desconto no BIG,Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Coca-Cola,,So pontuo 40 reais,"Sim, gastaria e trocaria pelo microondas",,Prefiro micro ondas pois valorizo amis,Indiferente,No mesmo dia,Depende da campanha,R$200,1,1
Rio Grande do Sul (RS),mais de 55 anos,Mais de 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,,,,Cadastro pelo app,,,,Ativação de ofertas em aplicativos,,,,,,,,Ativação de ofertas em aplicativos,,,,,,,,,"Não, nunca resgatei nenhum prêmio","Dinheiro de volta (Cashback),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...)",Coca-Cola,Pepsi com selos em dobro,,Tenho direito a 2 selos,"Sim, gastaria e trocaria pelo microondas",,Prefiro o microondas,"Não dou bola, não tenho interesse",Na mesma semana,Não,R$100,0,1
Rio Grande do Sul (RS),25 a 35 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,iFood,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Pessoas na loja ajudando no cadastro,,Cashback,,,,,,,,Cashback,,,,,,,,"Sim, já recebi descontos na loja",,"Sim, já recebi dinheiro de volta",,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,"Que qunto mais eu compro, mais u ganho selos","Sim, gastaria e trocaria pelo microondas",,Custo beneficio,Ótimo,No mesmo dia,Sim,R$50,1,1
Espírito Santo (ES),18 a 25 anos,3 a 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,iFood,,,,Uber,,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,Produtos colecionáveis a partir das compras em loja (ex: campanha de selinhos),Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,,Cupons de desconto,Ativação de ofertas em aplicativos,,,,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços","Sim, já recebi dinheiro de volta",,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de descontos em lojas parceiras,Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Muito bom,"Não, fico com a sanduicheira",Não sei,,,Na mesma semana,Provavelmente,R$100,0,1
Ceará (CE),35 a 45 anos,3 a 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,Rappi,James,iFood,,,,,,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,Cashback,,,,,,,,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,,,,,"Sim, já resgatei um produto",,,,,"Dinheiro de volta (Cashback),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Nenhum deles,,,dois selos,"Não, fico com a sanduicheira",pelo valor gasto,,,No mesmo dia,Não,R$100,0,1
Ceará (CE),25 a 35 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,Cartão fidelidade,,,,,Ativação de ofertas em aplicativos,,,,,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Nenhum deles,,,Nada,"Sim, gastaria e trocaria pelo microondas",,Porque preciso de um microondas pra mim ajudar mais no dia a dia .,Show,No mesmo dia,Depende da campanha,R$50,0,1
Minas Gerais (MG),18 a 25 anos,Mais de 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,iFood,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,Cashback,Cupons de desconto,,Acúmulo de pontos,,,,,,Cupons de desconto,,Acúmulo de pontos,,,,,,,"Sim, já recebi dinheiro de volta",,"Eletrodomésticos,Dinheiro de volta (Cashback),Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...)",Nenhum deles,,,Somente acumula pontos na compra da pepsi,"Sim, gastaria e trocaria pelo microondas",,Acho o micro-ondas mais funcional. Questão pessoal apenas.,Prefiro descontos.,No mesmo dia,Não,R$50,0,1
Maranhão (MA),mais de 55 anos,3 a 5 vezes ao mês,"De 10 a 20 salários mínimos (de R$ 10.450,01 a R$ 20.900,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Fazer o cadastro no próprio caixa,,,,,,Acúmulo de milhas,,,,,,,,Acúmulo de milhas,,,"Sim, já resgatei um produto",,,,,"Dinheiro de volta (Cashback),Cupons de descontos em lojas parceiras,Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...)",Nenhum deles,,,QUE POSSO TROCAR POR ALGUM PRODUTO APÓS ALCANÇAR DETERMINADA PONTUAÇÃO,"Sim, gastaria e trocaria pelo microondas",,UTILIDADE DO PRODUTO,NÃO RETRATA O FIM PARA QUAL FOI PROPOSTA,No mesmo dia,Não,R$100,1,0
Santa Catarina (SC),35 a 45 anos,3 a 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Terminal de auto atendimento na loja,,,,,Acúmulo de pontos,,Cartão fidelidade,,,,,,Acúmulo de pontos,,Cartão fidelidade,,,"Sim, já recebi descontos na loja",,,,"Seguros (ex: Seguro Residência\, Seguro Família...),Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Cupons de desconto no BIG",Pepsi,,Coca-Cola com selos em dobro,Ganharia no caso 2 selos,"Sim, gastaria e trocaria pelo microondas",,Não é atrativo,Não faz efeito,No mesmo dia,Depende da campanha,R$100,1,0
Goiás (GO),menos de 18 anos,Mais de 5 vezes ao mês,"De 10 a 20 salários mínimos (de R$ 10.450,01 a R$ 20.900,00)",,,,,,,,,,,Não uso,Supermercado cariri center,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Fazer o cadastro no próprio caixa,,,,,,,,Nenhum,,,,,,Acúmulo de milhas,,,,,,"Sim, já recebi dinheiro de volta",,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG,Dinheiro de volta (Cashback)",Coca-Cola,Coca-Cola,,Nada,"Sim, gastaria e trocaria pelo microondas",,Nao,Nada,No mesmo dia,Depende da campanha,R$400,0,0
São Paulo (SP),35 a 45 anos,1 a 3 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,iFood,,,Americanas Mercado,Uber,,,Ofertas de desconto em produtos nas prateleiras da loja,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,,,,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,,,,,,"Sim, já recebi descontos na loja",,"Sim, já recebi dinheiro de volta",,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Dinheiro de volta (Cashback),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Nenhum deles,,,Normal,"Sim, gastaria e trocaria pelo microondas",,Porque eu sempre procuro o que mais uso,Não me preocupo com isso,No mesmo dia,Provavelmente,R$100,1,1
